Expense Type,Amount,Department
Allowance,2881.24,HR
Allowance,2661.4,Sales
Meals,960.59,HR
Hotel,2912.3,Sales
Air,750.29,Finance
Meals,1064.26,IT
Air,1057.58,R&D
Meals,1819.3,Operations
Allowance,933.91,Sales
Air,1390.19,R&D
Car,2763.86,IT
Car,1426.28,IT
Meals,2217.03,Legal
Car,1230.92,Operations
Air,267.51,Marketing
Car,907.2,Operations
Air,2927.16,IT
Hotel,563.73,Sales
Hotel,2550.23,Sales
Car,113.4,Marketing
Air,2502.76,Legal
Air,1048.23,HR
Meals,758.44,Sales
Allowance,2932.45,Legal
Air,399.56,IT
Car,1621.04,Operations
Hotel,1818.67,IT
Air,2301.09,IT
Allowance,917.84,Operations
Car,207.11,Sales
Allowance,2906.73,IT
Air,2364.76,Marketing
Car,1550.41,Operations
Meals,1580.73,Operations
Hotel,1600.15,R&D
Meals,841.59,Finance
Car,697.6,R&D
Car,1217.9,Legal
Meals,1735.54,HR
Allowance,300.04,HR
Meals,1580.52,Finance
Meals,1561.17,Legal
Meals,1429.28,Operations
Meals,985.21,Finance
Car,1352.98,Marketing
Hotel,2709.35,Marketing
Hotel,2783.49,Marketing
Air,1112.7,IT
Hotel,630.11,HR
Hotel,2248.37,HR
Car,2131.65,HR
Air,2321.72,Operations
Meals,2840.15,Finance
Meals,1979.57,Legal
Car,719.43,R&D
Car,1571.68,R&D
Meals,1054.95,Operations
Car,1314.94,Legal
Car,1344.11,Finance
Hotel,459.9,HR
Air,1524.41,Operations
Hotel,715.2,Legal
Allowance,933.93,Finance
Allowance,2366.81,Sales
Hotel,1726.16,Legal
Meals,652.4,Marketing
Allowance,1189.98,Marketing
Hotel,1730.07,HR
Air,555.7,Sales
Air,2488.1,R&D
Air,600.74,Legal
Hotel,657.38,Marketing
Meals,219.49,Finance
Car,1013.98,Legal
Car,2969.31,Legal
Meals,2242.27,IT
Car,2617.82,Legal
Meals,518.4,HR
Allowance,648.77,R&D
Hotel,645.02,R&D
Air,2482.52,IT
Allowance,1020.23,R&D
Meals,1414.95,Marketing
Hotel,1956.58,Operations
Hotel,1203.72,Legal
Car,579.76,Legal
Meals,1184.76,Sales
Allowance,331.83,Finance
Car,2662.35,HR
Allowance,911.07,IT
Meals,1263.27,Marketing
Hotel,275.77,Operations
Meals,1380.26,IT
Allowance,181.67,Marketing
Meals,1174.41,IT
Meals,161.44,Marketing
Car,1014.98,R&D
Meals,251.3,IT
Meals,463.75,Sales
Car,2523.56,Marketing
Car,917.73,Legal
Car,278.88,HR
Car,1349.94,IT
Air,2683.43,IT
Meals,2105.39,Marketing
Meals,2086.52,Finance
Allowance,63.76,IT
Car,1155.2,IT
Air,97.31,Finance
Hotel,2470.55,Marketing
Car,2878.3,Sales
Car,179.84,Marketing
Hotel,1001.9,IT
Allowance,661,Legal
Meals,406.37,Marketing
Hotel,1003.94,Legal
Hotel,85.35,R&D
Car,244.75,Operations
Air,248.63,Legal
Hotel,2314.26,Marketing
Allowance,2384.22,Sales
Hotel,2879.15,Operations
Meals,2049.81,Sales
Hotel,567.23,Operations
Meals,249.16,R&D
Meals,1557.53,Finance
Car,112.58,HR
Car,2226.84,Marketing
Air,455.79,HR
Car,497.43,Finance
Car,2774.06,R&D
Hotel,446.09,Finance
Allowance,2385.75,HR
Air,725.58,Operations
Car,657.16,IT
Car,1843.79,Operations
Car,1354.96,Marketing
Meals,256.46,Finance
Car,2817.91,Marketing
Car,1798.26,IT
Allowance,280.59,HR
Car,2178.94,Legal
Car,1837.26,HR
Allowance,1372.4,IT
Hotel,2594.16,Marketing
Hotel,1224.82,R&D
Meals,1296.96,Legal
Car,2467.83,Finance
Meals,1310.82,HR
Allowance,1634.73,Sales
Hotel,1172.33,R&D
Hotel,1156.68,R&D
Air,1033.04,IT
Car,2752.59,Finance
Allowance,2204.59,R&D
Meals,2780.79,Operations
Meals,1494.18,Marketing
Meals,2660.75,Legal
Allowance,528.97,HR
Hotel,1553.34,Operations
Air,1970.17,IT
Car,1459.29,Finance
Car,820.93,Sales
Hotel,779.87,Sales
Air,394.36,Legal
Meals,2132.91,IT
Meals,539.18,HR
Hotel,1526.91,Legal
Allowance,958.54,Marketing
Air,1926.73,Sales
Hotel,2258.75,HR
Air,2961.73,Finance
Air,256.03,Legal
Allowance,1279.68,Legal
Car,570.38,Sales
Car,1485.09,Marketing
Meals,1722.92,Sales
Car,224,IT
Hotel,2949.69,R&D
Allowance,372.13,Sales
Air,914.72,Marketing
Hotel,239.57,IT
Meals,1481.32,Finance
Air,834.94,Finance
Air,672.65,Legal
Allowance,1584.22,R&D
Meals,2282.89,Legal
Hotel,1143.82,Operations
Car,2825.92,Legal
Meals,1851.89,Operations
Air,59.1,Legal
Car,125.76,HR
Car,1136.87,R&D
Allowance,1268.72,Finance
Hotel,99.06,Finance
Hotel,2049.89,R&D
Meals,2230.65,Operations
Meals,2820.3,Marketing
Meals,916.9,Sales
Allowance,2634.89,Finance
Car,1518.88,HR
Allowance,2962.3,Sales
Meals,2867.4,IT
Car,674.34,Marketing
Air,1332.94,Sales
Hotel,2712.81,IT
Hotel,2014.5,Marketing
Car,2772.07,R&D
Air,2396.84,IT
Allowance,2310.7,Marketing
Hotel,1162.18,Legal
Car,709.47,HR
Air,378.58,IT
Air,1739.88,Operations
Meals,1751.9,HR
Air,1790.68,Legal
Meals,992.95,Sales
Allowance,2008.04,IT
Air,1216.17,R&D
Hotel,476.87,IT
Meals,2055.94,HR
Car,2253.83,Finance
Allowance,994.41,Marketing
Hotel,2990.7,R&D
Car,1510.33,Legal
Air,2944.37,Sales
Car,2551.81,Finance
Car,2577.5,HR
Car,2973.64,Legal
Hotel,1296.19,Operations
Meals,1203.64,HR
Hotel,2104.31,Legal
Air,436.16,Finance
Hotel,1399.72,Sales
Meals,2103.07,Sales
Car,693.5,Finance
Hotel,2191.57,Marketing
Car,1160.84,Sales
Air,333.34,Sales
Air,396.17,Operations
Allowance,1329.77,Legal
Car,150.28,Legal
Meals,942.93,Sales
Meals,2338.76,Marketing
Meals,2601.44,Legal
Hotel,1915.38,Operations
Air,404,Marketing
Meals,1942.16,IT
Air,1781.21,R&D
Hotel,2096.49,Sales
Meals,1478.36,Legal
Hotel,1735.7,Operations
Air,2155.62,Sales
Meals,2447.96,Legal
Allowance,2461.52,R&D
Air,1580.76,Marketing
Car,2898.76,Sales
Allowance,2100.89,R&D
Hotel,412.98,IT
Car,309.07,Finance
Air,2940.79,HR
Hotel,2900.51,Legal
Air,782.59,HR
Allowance,1362.51,R&D
Hotel,1591.87,IT
Air,2004.72,IT
Air,604.82,IT
Car,1826.33,Operations
Hotel,429.05,Legal
Air,1672.05,Legal
Car,1230.18,HR
Meals,2823.59,IT
Air,1907.23,IT
Hotel,1712.74,Sales
Meals,2473.63,Legal
Meals,126.43,IT
Air,846.87,Marketing
Allowance,1250,Marketing
Hotel,2732.27,Sales
Car,857.26,Legal
Car,1166.97,Marketing
Car,1603.1,R&D
Air,1610.43,HR
Allowance,849.61,Finance
Car,988.09,Sales
Hotel,2427.95,Legal
Meals,1797.31,Finance
Allowance,2154.01,Sales
Car,1167.46,Finance
Hotel,2137.13,Legal
Meals,590.16,R&D
Allowance,896.12,IT
Hotel,1925.12,HR
Meals,2323.21,Marketing
Air,2203.36,Sales
Allowance,219.36,R&D
Air,2888.39,Sales
Meals,1518.53,Marketing
Meals,91.01,Finance
Meals,2122.65,IT
Allowance,2068.03,R&D
Car,2039.84,IT
Car,271.61,Operations
Air,1297.03,Sales
Hotel,2910.7,IT
Allowance,2559.79,HR
Hotel,1475.22,IT
Air,2227.18,Legal
Car,2773.02,Finance
Meals,2682.86,Finance
Hotel,67.38,Operations
Hotel,1093.98,Operations
Car,1236.1,Marketing
Meals,1501.54,Sales
Meals,415.34,Finance
Car,2319.87,IT
Meals,1216.31,Operations
Meals,2681.97,HR
Air,2968.64,R&D
Car,462.63,Finance
Hotel,2656.55,IT
Air,609.22,Sales
Meals,1292.11,Finance
Car,2015.3,HR
Air,1292.23,R&D
Car,1008.42,Legal
Car,373.71,Finance
Car,508.85,Finance
Car,203.52,Legal
Allowance,2225.42,R&D
Hotel,882.56,Legal
Car,1871.96,Sales
Car,879.36,HR
Car,2015.67,IT
Meals,2134.06,Sales
Car,2978.03,Sales
Car,405.36,Finance
Hotel,2971.68,Legal
Air,1868.58,Finance
Meals,1251.53,IT
Car,1041.72,Finance
Allowance,1309.86,HR
Air,844.28,Operations
Meals,778.56,Sales
Air,51.58,Operations
Car,891.69,Marketing
Meals,595.28,Operations
Hotel,947.85,Finance
Allowance,2322.87,Operations
Hotel,2236.81,Operations
Car,1968.23,Legal
Air,2667.22,Marketing
Air,1780.36,IT
Car,2128.75,Marketing
Allowance,1876.08,R&D
Car,1623.99,Finance
Car,615.53,HR
Allowance,2926.62,R&D
Air,2737.01,R&D
Meals,1595.1,Finance
Car,1817.5,Sales
Hotel,184.06,Finance
Car,2235.11,R&D
Allowance,2617.25,Sales
Meals,2264.65,Legal
Meals,1841.29,Sales
Air,522.01,Finance
Allowance,1393.55,HR
Hotel,2564.8,HR
Allowance,401.36,Finance
Allowance,752.74,Sales
Hotel,2785.38,Finance
Car,2969.13,Marketing
Air,1963.5,Operations
Hotel,295.58,HR
Car,1254.61,HR
Hotel,2956.52,Finance
Hotel,696.87,Sales
Hotel,2916.23,Marketing
Meals,2839.69,IT
Meals,700.89,IT
Allowance,1907.91,Sales
Meals,733.58,Operations
Car,2711.4,R&D
Car,1405.2,IT
Allowance,1497.03,HR
Air,964.97,Legal
Allowance,604.15,Marketing
Meals,773.5,Legal
Air,2186.71,Finance
Allowance,344.2,Finance
Air,2488.36,Finance
Car,782.61,HR
Car,2818.87,Finance
Air,2874.97,Operations
Air,646.85,R&D
Car,956.79,Sales
Car,214.83,HR
Allowance,413.07,Marketing
Allowance,925.38,Legal
Car,53.57,Finance
Car,1310.05,Operations
Hotel,716.36,Legal
Air,1500.87,IT
Air,2871.58,Operations
Air,1866.31,Operations
Air,2691.98,Sales
Car,1314.45,Sales
Meals,493.15,HR
Allowance,2461.81,Marketing
Hotel,2752.89,Operations
Hotel,2441.62,Marketing
Air,2592.06,Sales
Hotel,485.95,R&D
Air,383.83,HR
Car,316.82,Sales
Meals,1090.2,Legal
Meals,2095.59,Operations
Car,2416.32,IT
Meals,1285.05,R&D
Allowance,1631.83,Legal
Air,1763.84,IT
Air,743.82,IT
Air,1119.08,Sales
Air,225.75,Operations
Car,919.36,Legal
Car,671.68,Finance
Car,395.85,Sales
Meals,2212.59,Legal
Hotel,209.55,Marketing
Meals,2520.44,Finance
Car,1127.47,IT
Air,86.81,Sales
Car,1435.81,HR
Meals,1263.99,R&D
Air,895.97,Finance
Air,1832.31,Sales
Air,1219.35,R&D
Allowance,2148.65,HR
Car,1299.83,HR
Air,1588.43,IT
Meals,1876.18,Legal
Car,2476.39,Marketing
Meals,1458.38,Legal
Meals,536.23,Legal
Car,846.26,Marketing
Hotel,1829.41,Finance
Car,882.51,Marketing
Air,675.13,HR
Car,1677.49,Finance
Car,844.05,Finance
Allowance,2960.16,Finance
Air,978.01,Finance
Hotel,2267.45,IT
Hotel,2267.93,Sales
Air,1027.39,Marketing
Allowance,2432.11,Finance
Allowance,2398.4,Finance
Hotel,525.61,R&D
Air,2661.35,IT
Car,2432.05,Sales
Car,2980.58,Operations
Meals,2366.79,HR
Hotel,1889.24,Finance
Meals,755.38,Marketing
Car,1722.36,Marketing
Air,470.74,Marketing
Meals,327.64,Sales
Hotel,526.34,Operations
Hotel,313.23,R&D
Hotel,2959.12,R&D
Car,2822.5,R&D
Air,1122.24,Legal
Meals,2578.15,Sales
Meals,1131.86,Operations
Hotel,296.3,R&D
Hotel,2638.36,Finance
Allowance,2933.42,IT
Allowance,73.43,HR
Meals,516.71,Marketing
Car,1195.26,Marketing
Hotel,1424.34,R&D
Air,303.18,Legal
Meals,638.44,Marketing
Hotel,1060.15,R&D
Car,2121.76,Marketing
Hotel,1391.01,Sales
Meals,479.27,Operations
Allowance,142.4,Legal
Air,2812.56,Legal
Meals,679.59,Finance
Meals,846.05,Sales
Air,468.13,Legal
Air,930.09,R&D
Meals,1598.09,HR
Car,2500.12,Legal
Hotel,2891.93,Sales
Car,1080.36,R&D
Meals,1629.74,Legal
Hotel,2742.16,Legal
Air,1704.68,IT
Air,2182.03,Sales
Hotel,2008.99,Finance
Car,2694.68,R&D
Hotel,385.14,Legal
Hotel,1586.04,R&D
Car,1921.16,Marketing
Air,694.94,Legal
Allowance,2334.43,Legal
Car,1076.85,Finance
Hotel,2450.65,HR
Hotel,1531.15,R&D
Meals,1271.46,Operations
Allowance,1306.26,Marketing
Car,1403.53,Sales
Allowance,1804.93,Legal
Meals,890.83,Legal
Hotel,2121.17,Marketing
Air,314.43,Legal
Air,1514.39,Marketing
Meals,1534.92,HR
Meals,675.02,Legal
Air,626.9,Marketing
Hotel,2904.47,Legal
Meals,72.44,IT
Allowance,886.63,HR
Hotel,2523.53,IT
Air,2705.55,Finance
Air,127.43,Operations
Hotel,552.71,Legal
Car,1689.43,IT
Allowance,1951.08,Legal
Car,2821.21,Sales
Meals,2717.31,Sales
Meals,731.36,Sales
Allowance,399.2,Legal
Hotel,2520.15,Operations
Car,325.1,Legal
Air,1905.24,Sales
Air,1873.39,Marketing
Allowance,1178.09,R&D
Hotel,600.34,IT
Hotel,621.8,Legal
Hotel,1994.81,Marketing
Car,1900.94,Marketing
Air,1404.43,Marketing
Air,468.41,Sales
Air,278.28,IT
Meals,346.98,Legal
Air,1485.23,Marketing
Car,2077.64,Operations
Meals,2435.22,HR
Air,2715.73,Finance
Air,2928.95,R&D
Allowance,1819.98,Sales
Allowance,2238.01,IT
Allowance,137.19,Sales
Car,2607.28,IT
Air,1016.24,Marketing
Car,839.39,IT
Air,1078.23,HR
Meals,2248.32,Legal
Allowance,2841.72,HR
Car,633.74,Legal
Air,1771.76,HR
Car,2392.59,Legal
Meals,1300.03,Operations
Allowance,367.3,Legal
Car,1723.07,Marketing
Meals,543.38,HR
Allowance,1258.93,Operations
Meals,138.32,Operations
Meals,2383.14,IT
Air,684.79,Operations
Car,2349.57,Finance
Hotel,2080.46,IT
Meals,1724.03,IT
Allowance,245.39,IT
Allowance,691.52,HR
Allowance,2841.5,Marketing
Allowance,2683.36,Legal
Hotel,2449.51,IT
Air,2418.04,Finance
Hotel,1292.65,R&D
Car,1824.22,Legal
Car,1750.42,Finance
Allowance,2964.47,HR
Car,2532.85,Finance
Allowance,2758.2,Operations
Air,254.89,Legal
Hotel,860.29,Legal
Air,1691.53,R&D
Allowance,188.86,R&D
Meals,2553.58,Operations
Allowance,353.09,Finance
Air,459.27,Legal
Car,552.06,Operations
Allowance,2969.22,Finance
Hotel,2655.79,Marketing
Air,2844.08,HR
Hotel,2079.37,HR
Car,2778.33,R&D
Air,422.55,Legal
Meals,2021.29,IT
Allowance,1459.88,HR
Hotel,2329.3,IT
Air,828.25,Marketing
Hotel,1697.62,IT
Air,271.68,Finance
Car,88.73,R&D
Meals,604.36,Operations
Car,2451.29,Operations
Hotel,2140.11,Sales
Allowance,361.7,IT
Hotel,1187.45,IT
Meals,604.46,Legal
Car,2074.48,Marketing
Car,1409.81,Marketing
Car,98.93,Sales
Hotel,134.33,R&D
Hotel,833.46,Marketing
Hotel,1322.85,Legal
Allowance,1321,Finance
Meals,854.14,Finance
Meals,2209.4,IT
Hotel,608.88,HR
Allowance,1841.97,Legal
Air,2059.42,IT
Air,697.76,Finance
Allowance,835.23,Marketing
Hotel,718.07,Legal
Meals,1209.01,HR
Meals,656.83,Operations
Hotel,2132.27,Finance
Air,595.98,R&D
Hotel,2565.06,IT
Car,979.58,Sales
Car,1029.86,Sales
Air,2014.79,Operations
Air,573.67,Marketing
Car,2053.65,Operations
Meals,1770.32,IT
Meals,372.69,HR
Car,1599.54,Sales
Air,344.98,R&D
Meals,2217.7,HR
Meals,797.93,Finance
Hotel,938.35,R&D
Air,846.32,Finance
Car,2936.98,Sales
Hotel,1518.61,Legal
Hotel,658.61,IT
Meals,1934.26,R&D
Allowance,566.11,Operations
Hotel,1203.53,HR
Hotel,612.19,Operations
Allowance,412.74,Operations
Hotel,375.06,R&D
Car,1425.64,HR
Allowance,1696.52,HR
Meals,900.37,Finance
Meals,170.81,Marketing
Air,1490.68,Legal
Hotel,1997.75,Finance
Hotel,456.27,Sales
Air,2153.93,IT
Meals,1776.41,HR
Car,144.8,IT
Meals,1296.56,HR
Hotel,1811.26,Legal
Hotel,2422.92,IT
Hotel,450.29,IT
Hotel,949.74,R&D
Allowance,590.95,Marketing
Car,1603.39,Operations
Allowance,2807.9,Operations
Meals,1094.87,Legal
Meals,1410.79,Finance
Meals,310.87,HR
Car,1761.95,Sales
Allowance,1652.65,HR
Air,2278.24,Sales
Meals,2026.73,R&D
Air,299.74,Marketing
Hotel,1803.3,R&D
Hotel,2599.73,Finance
Car,1572.98,R&D
Car,709.45,Sales
Hotel,1903.31,R&D
Allowance,2078.94,Marketing
Air,501.42,Marketing
Car,652.67,Finance
Allowance,1359.26,Marketing
Hotel,1243.44,IT
Allowance,817.8,R&D
Allowance,413.43,Finance
Car,467.97,IT
Car,1558.97,IT
Meals,1467.38,Marketing
Allowance,1504.24,HR
Meals,1188.17,R&D
Meals,2449.81,Finance
Hotel,1398.39,Legal
Air,1762.59,R&D
Air,2728.92,Sales
Meals,2653.15,HR
Air,2946.17,IT
Hotel,2712.52,Legal
Allowance,235.16,Sales
Hotel,1985,Operations
Meals,2159.79,HR
Hotel,2774.26,R&D
Meals,2889.54,Sales
Allowance,2140.08,HR
Car,2108.42,Operations
Allowance,1871.55,Marketing
Air,137.09,IT
Air,2012.52,R&D
Hotel,2291.73,Marketing
Car,2198.08,Legal
Air,232.68,Marketing
Air,2548.07,R&D
Hotel,1839.27,Sales
Hotel,367.6,Legal
Car,2967.17,IT
Car,794.86,HR
Car,643.52,Legal
Allowance,2435.58,Marketing
Allowance,121.52,Marketing
Car,148.06,Finance
Hotel,2334.44,Marketing
Hotel,596.65,R&D
Car,2505.59,R&D
Allowance,1088.71,Sales
Air,1344.69,Legal
Air,1729,HR
Air,397.89,Finance
Allowance,1644.59,IT
Hotel,2770.71,Legal
Hotel,250.46,HR
Air,1626.55,HR
Meals,1875,Marketing
Allowance,1439.39,Finance
Air,1047.23,IT
Hotel,2669.68,Sales
Car,1663.91,Finance
Car,1505.99,Finance
Hotel,2944.12,Marketing
Allowance,1462.38,HR
Air,356.98,IT
Hotel,1322.97,IT
Air,2797.18,IT
Allowance,1844.01,Finance
Allowance,1472.41,Legal
Car,1317.67,Sales
Air,1341.96,Operations
Hotel,621.25,Finance
Car,734.5,Finance
Car,1268.54,Finance
Air,2626.1,Finance
Air,217.13,Sales
Hotel,178.97,IT
Hotel,432.66,R&D
Air,1986.94,HR
Allowance,657.29,Operations
Car,1358.45,Operations
Allowance,913.42,IT
Allowance,2684.29,Marketing
Air,1072.57,R&D
Hotel,281.42,IT
Hotel,2238.63,Marketing
Hotel,2188.49,Finance
Car,2110.11,R&D
Air,112.8,HR
Hotel,1785.31,Marketing
Air,873.32,Legal
Meals,105.6,Legal
Meals,181.03,Legal
Car,1996.78,Finance
Hotel,142.35,Finance
Allowance,2275.71,HR
Allowance,688.81,Operations
Allowance,1330.52,Finance
Air,1682.22,HR
Allowance,1417.33,HR
Car,2882.9,IT
Car,2727.75,HR
Air,2996.48,HR
Hotel,1734.69,HR
Hotel,842.8,Finance
Air,955.34,Operations
Hotel,2550.4,R&D
Air,1347.73,Finance
Hotel,1466.61,IT
Meals,222.83,HR
Allowance,1676.77,R&D
Car,811.12,HR
Meals,425.31,Sales
Car,2620.16,Finance
Car,387.62,Sales
Allowance,2588.68,Operations
Air,1682.55,Finance
Hotel,2927.08,Operations
Allowance,2169.04,IT
Hotel,372.03,R&D
Air,1557.55,IT
Hotel,1732.58,Legal
Air,1943.57,Sales
Air,1013.29,Operations
Meals,2697.31,R&D
Hotel,1884.65,Operations
Air,908.07,Finance
Air,1846.66,Operations
Car,1167.58,Finance
Car,1174.21,Marketing
Air,2877.94,Legal
Allowance,2212.48,Finance
Allowance,1443.37,R&D
Hotel,844.09,HR
Car,1019.62,IT
Meals,978.71,IT
Meals,2211.76,Operations
Air,1088.35,Marketing
Hotel,1977.32,IT
Meals,2369.6,Sales
Allowance,772.58,Sales
Allowance,817.82,Operations
Hotel,397.99,Legal
Allowance,2950.58,R&D
Car,2704.62,Finance
Car,406.33,R&D
Air,422.87,Legal
Air,2085.64,Sales
Allowance,2607.3,Legal
Hotel,425.99,IT
Hotel,401.14,Marketing
Air,267.57,R&D
Meals,1910.95,HR
Meals,2115.34,Marketing
Car,2692.02,Operations
Meals,1169.16,Sales
Allowance,2181.47,Marketing
Car,927.18,Finance
Allowance,1577.15,Legal
Hotel,1002.26,Sales
Car,173.71,Legal
Allowance,870.86,Operations
Air,1074.67,Marketing
Hotel,857.85,IT
Car,901.01,Marketing
Car,2015.98,Marketing
Car,1678.88,Sales
Air,1815.26,IT
Air,1490.68,Operations
Car,881.42,Legal
Meals,1586.64,HR
Air,2162.94,R&D
Meals,1505.1,Sales
Hotel,2208.32,Operations
Air,2245.62,Marketing
Hotel,512.35,HR
Meals,1910.34,Marketing
Hotel,2682.2,Legal
Air,2800.49,Operations
Car,2532.22,Finance
Air,775.45,Legal
Car,2036.38,R&D
Car,1479.3,R&D
Hotel,438.79,Marketing
Allowance,2578.61,Finance
Meals,248.42,IT
Car,164.5,HR
Allowance,1171.86,IT
Hotel,1478.49,Sales
Hotel,2530.04,R&D
Meals,2400.4,Operations
Allowance,1468.83,IT
Air,2890.61,Legal
Meals,1009.92,Legal
Air,569.77,Marketing
Hotel,2106.06,Sales
Meals,2528.36,Legal
Car,135.44,IT
Meals,229.37,HR
Hotel,1263.13,Legal
Meals,819.06,HR
Meals,2198.15,Finance
Hotel,1370.53,Sales
Allowance,658.29,Marketing
Allowance,1851.72,Finance
Air,2417.12,Operations
Hotel,2312.18,Marketing
Air,1580.01,IT
Car,2522.54,IT
Hotel,2413.79,Operations
